hour_of_day,avg_temp
0,24.064878048780482
1,24.799756097560973
2,25.75857142857143
3,24.588421052631578
4,25.13678571428571
5,24.034827586206887
6,24.72914893617021
7,24.24113636363637
8,26.074444444444442
9,25.38000000000001
10,23.81736842105263
11,25.222068965517238
12,23.241162790697675
13,24.083999999999996
14,23.31477272727273
15,24.457234042553193
16,25.86909090909091
17,23.858666666666675
18,25.39775
19,25.179130434782614
20,24.240416666666665
21,25.24761904761905
22,25.98848484848485
23,24.168799999999997
